 time     v(/out) 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.8e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 5.9e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.0e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.1e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.2e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.3e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.4e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.5e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.6e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.7e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.8e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 6.9e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.0e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.1e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.2e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.3e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.4e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.5e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.6e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.7e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.8e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 7.9e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.0e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.1e-09  3.2e-02 
 8.2e-09  3.2e-02 
