 time       v(/in)     v(/out)   
 3.900e-04  3.187e+00  3.631e+00 
 3.910e-04  3.163e+00  3.631e+00 
 3.920e-04  3.138e+00  3.631e+00 
 3.930e-04  3.114e+00  3.631e+00 
 3.940e-04  3.089e+00  3.631e+00 
 3.950e-04  3.065e+00  3.631e+00 
 3.960e-04  3.040e+00  3.631e+00 
 3.970e-04  3.015e+00  3.631e+00 
 3.980e-04  2.990e+00  3.631e+00 
 3.990e-04  2.964e+00  3.631e+00 
 4.000e-04  2.939e+00  3.631e+00 
 4.010e-04  2.913e+00  3.630e+00 
 4.020e-04  2.888e+00  3.630e+00 
 4.030e-04  2.862e+00  3.630e+00 
 4.040e-04  2.836e+00  3.630e+00 
 4.050e-04  2.810e+00  3.630e+00 
 4.060e-04  2.784e+00  3.630e+00 
 4.070e-04  2.758e+00  3.630e+00 
 4.080e-04  2.732e+00  3.630e+00 
 4.090e-04  2.706e+00  3.630e+00 
 4.100e-04  2.679e+00  3.630e+00 
 4.110e-04  2.653e+00  3.630e+00 
 4.120e-04  2.626e+00  3.630e+00 
 4.130e-04  2.599e+00  3.630e+00 
 4.140e-04  2.572e+00  3.630e+00 
 4.150e-04  2.545e+00  3.630e+00 
 4.160e-04  2.518e+00  3.630e+00 
 4.170e-04  2.491e+00  3.630e+00 
 4.180e-04  2.464e+00  3.630e+00 
 4.190e-04  2.436e+00  3.630e+00 
 4.200e-04  2.409e+00  3.630e+00 
 4.210e-04  2.381e+00  3.630e+00 
 4.220e-04  2.354e+00  3.630e+00 
 4.230e-04  2.326e+00  3.630e+00 
 4.240e-04  2.298e+00  3.630e+00 
 4.250e-04  2.270e+00  3.630e+00 
 4.260e-04  2.242e+00  3.630e+00 
 4.270e-04  2.214e+00  3.630e+00 
 4.280e-04  2.186e+00  3.630e+00 
 4.290e-04  2.157e+00  3.629e+00 
 4.300e-04  2.129e+00  3.629e+00 
 4.310e-04  2.100e+00  3.629e+00 
 4.320e-04  2.072e+00  3.629e+00 
 4.330e-04  2.043e+00  3.629e+00 
 4.340e-04  2.015e+00  3.629e+00 
 4.350e-04  1.986e+00  3.629e+00 
 4.360e-04  1.957e+00  3.629e+00 
 4.370e-04  1.928e+00  3.629e+00 
 4.380e-04  1.899e+00  3.629e+00 
 4.390e-04  1.870e+00  3.629e+00 
 4.400e-04  1.841e+00  3.629e+00 
 4.410e-04  1.811e+00  3.629e+00 
 4.420e-04  1.782e+00  3.629e+00 
 4.430e-04  1.753e+00  3.629e+00 
 4.440e-04  1.723e+00  3.629e+00 
 4.450e-04  1.694e+00  3.629e+00 
 4.460e-04  1.664e+00  3.629e+00 
 4.470e-04  1.634e+00  3.629e+00 
 4.480e-04  1.605e+00  3.629e+00 
 4.490e-04  1.575e+00  3.629e+00 
 4.500e-04  1.545e+00  3.629e+00 
 4.510e-04  1.515e+00  3.629e+00 
 4.520e-04  1.485e+00  3.629e+00 
 4.530e-04  1.455e+00  3.629e+00 
 4.540e-04  1.425e+00  3.629e+00 
 4.550e-04  1.395e+00  3.629e+00 
 4.560e-04  1.365e+00  3.628e+00 
 4.570e-04  1.335e+00  3.628e+00 
 4.580e-04  1.304e+00  3.628e+00 
 4.590e-04  1.274e+00  3.628e+00 
 4.600e-04  1.243e+00  3.628e+00 
 4.610e-04  1.213e+00  3.628e+00 
 4.620e-04  1.182e+00  3.628e+00 
 4.630e-04  1.152e+00  3.628e+00 
 4.640e-04  1.121e+00  3.628e+00 
 4.650e-04  1.091e+00  3.628e+00 
 4.660e-04  1.060e+00  3.628e+00 
 4.670e-04  1.029e+00  3.628e+00 
 4.680e-04  9.985e-01  3.628e+00 
 4.690e-04  9.677e-01  3.628e+00 
 4.700e-04  9.369e-01  3.628e+00 
 4.710e-04  9.060e-01  3.628e+00 
 4.720e-04  8.751e-01  3.628e+00 
 4.730e-04  8.442e-01  3.628e+00 
 4.740e-04  8.132e-01  3.628e+00 
 4.750e-04  7.822e-01  3.628e+00 
 4.760e-04  7.511e-01  3.628e+00 
 4.770e-04  7.201e-01  3.628e+00 
 4.780e-04  6.889e-01  3.628e+00 
 4.790e-04  6.578e-01  3.628e+00 
 4.800e-04  6.267e-01  3.628e+00 
 4.810e-04  5.955e-01  3.628e+00 
 4.820e-04  5.643e-01  3.628e+00 
