 time       v(/signal_in) v(/rect_out)
 3.610e-04 -1.150e+00 -3.899e-09 
 3.620e-04 -1.144e+00 -3.910e-09 
 3.630e-04 -1.138e+00 -3.922e-09 
 3.640e-04 -1.131e+00 -3.933e-09 
 3.650e-04 -1.125e+00 -3.944e-09 
 3.660e-04 -1.119e+00 -3.955e-09 
 3.670e-04 -1.113e+00 -3.965e-09 
 3.680e-04 -1.106e+00 -3.976e-09 
 3.690e-04 -1.100e+00 -3.987e-09 
 3.700e-04 -1.093e+00 -3.998e-09 
 3.710e-04 -1.087e+00 -4.008e-09 
 3.720e-04 -1.080e+00 -4.019e-09 
 3.730e-04 -1.074e+00 -4.029e-09 
 3.740e-04 -1.067e+00 -4.040e-09 
 3.750e-04 -1.061e+00 -4.050e-09 
 3.760e-04 -1.054e+00 -4.060e-09 
 3.770e-04 -1.047e+00 -4.070e-09 
 3.780e-04 -1.040e+00 -4.081e-09 
 3.790e-04 -1.034e+00 -4.091e-09 
 3.800e-04 -1.027e+00 -4.101e-09 
 3.810e-04 -1.020e+00 -4.110e-09 
 3.820e-04 -1.013e+00 -4.120e-09 
 3.830e-04 -1.006e+00 -4.130e-09 
 3.840e-04 -9.990e-01 -4.140e-09 
 3.850e-04 -9.920e-01 -4.149e-09 
 3.860e-04 -9.849e-01 -4.159e-09 
 3.870e-04 -9.777e-01 -4.169e-09 
 3.880e-04 -9.706e-01 -4.178e-09 
 3.890e-04 -9.634e-01 -4.187e-09 
 3.900e-04 -9.561e-01 -4.197e-09 
 3.910e-04 -9.489e-01 -4.206e-09 
 3.920e-04 -9.415e-01 -4.215e-09 
 3.930e-04 -9.342e-01 -4.224e-09 
 3.940e-04 -9.268e-01 -4.233e-09 
 3.950e-04 -9.194e-01 -4.242e-09 
 3.960e-04 -9.119e-01 -4.251e-09 
 3.970e-04 -9.044e-01 -4.259e-09 
 3.980e-04 -8.969e-01 -4.268e-09 
 3.990e-04 -8.893e-01 -4.277e-09 
 4.000e-04 -8.817e-01 -4.285e-09 
 4.010e-04 -8.740e-01 -4.294e-09 
 4.020e-04 -8.664e-01 -4.302e-09 
 4.030e-04 -8.586e-01 -4.310e-09 
 4.040e-04 -8.509e-01 -4.319e-09 
 4.050e-04 -8.431e-01 -4.327e-09 
 4.060e-04 -8.353e-01 -4.335e-09 
 4.070e-04 -8.275e-01 -4.343e-09 
 4.080e-04 -8.196e-01 -4.351e-09 
 4.090e-04 -8.117e-01 -4.359e-09 
 4.100e-04 -8.037e-01 -4.366e-09 
 4.110e-04 -7.958e-01 -4.374e-09 
 4.120e-04 -7.878e-01 -4.381e-09 
 4.130e-04 -7.797e-01 -4.389e-09 
 4.140e-04 -7.717e-01 -4.396e-09 
 4.150e-04 -7.636e-01 -4.404e-09 
 4.160e-04 -7.554e-01 -4.411e-09 
 4.170e-04 -7.473e-01 -4.418e-09 
 4.180e-04 -7.391e-01 -4.425e-09 
 4.190e-04 -7.309e-01 -4.432e-09 
 4.200e-04 -7.226e-01 -4.439e-09 
